-0.8179,0.81015,0.18583,0.85854,-1.0241,1.835,1.8583,1.8479,1.9772,1.9998,1.9923,-0.18062,-0.14624,-0.10503,-0.074732,-0.054262,-0.02266,-0.23207,-0.16718,-0.21336,-0.21295,-0.22242,-0.20349
-0.33515,-1.2343,-0.067228,-1.0573,0.186,1.6166,1.9494,1.1415,0.18874,0.23491,2.1662,0.72922,0.78826,0.82472,0.9787,1.2002,1.2299,-0.10521,-0.18548,-0.053915,0.26269,-0.24868,-0.15894
0.14784,0.81015,-1.0794,-1.0573,1.4661,-1.1716,-1.002,-1.2537,-0.9517,-0.94171,-1.1962,-0.67924,-0.65848,-0.69123,-0.24553,-0.66161,-0.64282,-0.20231,-0.25191,1.9982,-0.30244,-0.27554,-0.25987
2.1004,-1.2343,-1.0794,-1.0573,-0.41428,-0.57836,-0.1667,-0.13964,-0.096367,0.23491,-0.32658,0.0034449,-0.50224,-0.528,-0.53656,-0.44548,-0.48909,-0.0095541,-0.14733,-0.25901,0.017762,-0.17212,-0.25995
-0.98256,-1.2343,-0.23593,-1.0573,0.019654,-0.28175,-0.44513,1.8099,-0.38148,-0.3534,-0.9063,-0.44969,-0.38646,-0.37712,-0.55167,-0.62982,-0.5232,0.24287,-0.25699,-0.21912,-0.1791,0.089492,-0.29338
0.9883,0.81015,0.36658,-1.0573,-0.23864,0.9047,-1.5588,-1.5322,-1.5219,-1.53,-1.486,-0.69805,-0.69347,-0.68049,-0.67526,-0.66598,-0.6557,-0.34194,-0.25699,-0.2968,-0.30806,-0.31413,-0.28695
1.9462,0.81015,-1.0794,-1.0573,2.117,-0.87498,-0.72356,-0.69665,-0.66659,0.23491,0.25313,-0.61504,-0.63241,-0.51384,-0.37227,-0.55208,-0.63063,-0.08954,0.238,0.80064,-0.30723,-0.31371,-0.22917
0.69377,0.81015,0.18583,-1.0573,0.001573,1.3496,2.2,1.8099,1.8994,1.9998,1.9923,1.9924,2.0762,2.2,2.349,2.6504,2.7052,0.0082363,0.15533,-0.1832,0.50261,-0.063776,0.11022
-1.1624,-1.2343,1.0293,-1.0573,2.551,1.4979,1.7823,1.8099,1.8994,1.9998,0.25313,-0.53988,-0.51742,-0.4978,-0.4667,-0.45187,-0.43035,-0.26546,-0.23384,-0.22864,-0.30806,-0.26581,-0.21245
0.94426,0.12866,-0.65768,-1.0573,1.1045,-1.1716,-0.72356,1.8099,1.8994,-1.53,-1.1962,-0.68799,-0.63281,-0.64583,-0.67366,-0.66544,-0.65234,0.053417,-0.25699,-0.29284,-0.30799,-0.30316,-0.29338
1.1755,0.12866,-0.23593,-1.0573,0.41743,-0.57836,-0.72356,-0.69665,-0.38148,-0.3534,-0.32658,-0.23109,-0.51721,-0.5804,-0.56759,-0.45962,-0.60852,0.41099,0.063156,-0.12423,0.21968,-0.15781,8.0633
-1.0725,-1.2343,-0.34137,0.85854,-1.1737,-0.13345,-0.097089,1.8099,0.11747,0.23491,0.18067,-0.50917,-0.4709,-0.46635,-0.43472,-0.37079,-0.38965,-0.1539,-0.25048,-0.23476,-0.25017,-0.18991,-0.25146
-0.8541,0.81015,0.18583,0.85854,-0.99287,0.16317,-0.027481,0.41737,0.046188,2.294,1.9923,-0.41344,-0.39368,-0.41173,-0.40648,-0.40573,-0.39239,-0.23465,-0.20391,-0.16505,-0.29529,-0.24879,-0.22565
